Date,Negara,Jumlah_Ekspor,Harga_Internasional,Dummy_COVID,
2012,Korea Selatan,"37,899.10","2,545.20",0,
2013,Korea Selatan,"36,149.60","2,061.80",0,
2014,Korea Selatan,"35,574.10","1,874.40",0,
2015,Korea Selatan,"33,037.30","1,377.40",0,
2016,Korea Selatan,"34,943.20","1,200.90",0,
2017,Korea Selatan,"38,075.10","1,831.70",0,
2018,Korea Selatan,"37,150.90","2,045.10",0,
2019,Korea Selatan,"29,550.00","1,406.70",1,
2020,Korea Selatan,"24,831.90","1,042.00",1,
2021,Korea Selatan,"21,011.20","1,422.70",1,
2022,Korea Selatan,"25,823.60","2,847.20",1,
2023,Korea Selatan,"25,284.40","2,235.60",1,
